City,Country,IATA,ICAO,Airport
Aksu,People's Republic of China,AKU,ZWAK,Aksu Airport
Almaty,Kazakhstan,ALA,UAAA,Almaty International Airport
Altay,People's Republic of China,AAT,ZWAT,Altay Airport
Amsterdam,Netherlands,AMS,EHAM,Amsterdam Airport Schiphol
Anchorage,United States,ANC,PANC,Ted Stevens Anchorage International Airport [Cargo]
Anqing,People's Republic of China,AQG,ZSAQ,Anqing Tianzhushan Airport
Anshan,People's Republic of China,AOG,ZYAS,Anshan Teng'ao Airport
Anshun,People's Republic of China,AVA,ZUAS,Anshun Huangguoshu Airport
Ashgabat,Turkmenistan,ASB,UTAA,Ashgabat Airport
Astana,Kazakhstan,TSE,UACC,Astana International Airport
Auckland,New Zealand,AKL,NZAA,Auckland Airport
Baishan,People's Republic of China,NBS,ZYBS,Changbaishan Airport
Baku,Azerbaijan,GYD,UBBB,Heydar Aliyev International Airport
Bangkok,Thailand,BKK,VTBS,Suvarnabhumi Airport
Baotou,People's Republic of China,BAV,ZBAO,Baotou Airport
Beijing,People's Republic of China,PEK,ZBAA,Capital International Airport Hub
Beihai,People's Republic of China,BHY,ZGBH,Fucheng Airport
Bijie,People's Republic of China,BFJ,ZUBJ,Bijie Feixiong Airport
Birmingham,United Kingdom,BHX,EGBB,Birmingham Airport
Bishkek,Kyrgyzstan,FRU,UAFM,Manas International Airport
Brisbane,Australia,BNE,YBBN,Brisbane Airport[1]
Busan,South Korea,PUS,RKPK,Gimhae International Airport
Cairns,Australia,CNS,YCBS,Cairns Airport [#][2]
Cebu,Philippines,CEB,RPVM,Mactan-Cebu International Airport [F]
Changchun,People's Republic of China,CGQ,ZYCC,Changchun Longjia International Airport
Changde,People's Republic of China,CGD,ZGCD,Changde Airport
Changsha,People's Republic of China,CSX,ZGCS,Changsha Huanghua International Airport
Changzhi,People's Republic of China,CIH,ZBCZ,Changzhi Wangcun Airport
Changzhou,People's Republic of China,CZX,ZSCG,Changzhou Benniu Airport
Chengdu,People's Republic of China,CTU,ZUUU,Shuangliu International Airport
Cheongju,South Korea,CJJ,RKTU,Cheongju Airport[3]
Chiang Mai,Thailand,CNX,VTCC,Chiang Mai International Airport[4]
Chicago,United States,ORD,KORD,O'Hare International Airport [Cargo]
Chongqing,People's Republic of China,CKG,ZUCK,Jiangbei International Airport Hub
Daegu,South Korea,TAE,RKTN,Daegu Airport
Dali,People's Republic of China,DLU,ZPDL,Dali Airport
Dalian,People's Republic of China,DLC,ZYTL,Zhoushuizi International Airport
Da Nang,Vietnam,DAD,VVDN,Da Nang International Airport
Dandong,People's Republic of China,DDG,ZYDD,Dandong Airport
Daqing,People's Republic of China,DQA,ZYDQ,Daqing Saertu Airport
Datong,People's Republic of China,DAT,ZBDT,Datong Airport
Delhi,India,DEL,VIDP,Indira Gandhi International Airport
Denpasar,Indonesia,DPS,WADD,Ngurah Rai International Airport[5]
Dhaka,Bangladesh,DAC,VGZR,Shahjalal International Airport
Dubai,United Arab Emirates,DXB,OMDB,Dubai International Airport
Dunhuang,People's Republic of China,DNH,ZLDH,Dunhuang Airport
Dushanbe,Tajikistan,DYU,UTDD,Dushanbe Airport
Enshi,People's Republic of China,ENH,ZHES,Enshi Airport
Frankfurt[6],Germany,FRA,EDDF,Frankfurt Airport
Fukuoka,Japan,FUK,RJFF,Fukuoka Airport
Fuyang,People's Republic of China,FUG,ZSFY,Fuyang Xiguan Airport
Fuyuan,People's Republic of China,FYJ,ZYFY,Fuyuan Dongji Airport
Fuzhou,People's Republic of China,FOC,ZSFZ,Changle International Airport
Ganzhou,People's Republic of China,KOW,ZSGZ,Ganzhou Huangjin Airport
Guam,Guam,GUM,PGUM,Antonio B. Won Pat International Airport [F]
Guangzhou,People's Republic of China,CAN,ZGGG,Baiyun International Airport Hub
Guiyang,People's Republic of China,KWE,ZUGY,Longdongbao International Airport
Guilin,People's Republic of China,KWL,ZGKL,Liangjiang International Airport
Gwangju,South Korea,KWJ,RKJJ,Gwangju Airport [F][7]
Haikou,People's Republic of China,HAK,ZJHK,Meilan International Airport
Hailar,People's Republic of China,HLD,ZBLA,Hailar Dongshan Airport
Hami City,People's Republic of China,HMI,ZWHM,Hami Airport
Handan,People's Republic of China,HDG,ZBHD,Handan Airport
Hangzhou,People's Republic of China,HGH,ZSHC,Xiaoshan International Airport ^
Hanoi,Vietnam,HAN,VVNB,Noi Bai International Airport
Harbin,People's Republic of China,HRB,ZYHB,Taiping International Airport
Hefei,People's Republic of China,HFE,ZSOF,Hefei Luogang International Airport [F]
Hefei,People's Republic of China,HFE,ZSOF,Hefei Xinqiao International Airport
Heihe,People's Republic of China,HEK,ZYHE,Heihe Airport
Hiroshima,Japan,HIJ,RJOA,Hiroshima Airport [F]
Ho Chi Minh City,Vietnam,SGN,VVTS,Tan Son Nhat International Airport
Hohhot,People's Republic of China,HET,ZBHH,Hohhot Baita International Airport ^
Hong Kong,Hong Kong,HKG,VHHH,Hong Kong International Airport
Hotan,People's Republic of China,HTN,ZWTN,Hotan Airport
Huaihua,People's Republic of China,HJJ,ZGCJ,Zhijiang Airport
Huangshan,People's Republic of China,TXN,ZSTX,Huangshan Tunxi International Airport
Islamabad,Pakistan,ISB,OPRN,Benazir Bhutto International Airport
Jakarta,Indonesia,CGK,WIII,Soekarno-Hatta International Airport
Jeddah,Saudi Arabia,JED,OEJN,King Abdul Aziz International Airport [F]
Jeju,South Korea,CJU,RKPC,Jeju International Airport
Jiamusi,People's Republic of China,JMU,ZYJM,Jiamusi Airport
Jinan,People's Republic of China,TNA,ZSJN,Yaoqiang International Airport
Ji'an,People's Republic of China,JGS,ZLJN,Jinggangshan Airport
Jingdezhen,People's Republic of China,JDZ,ZSJD,Jingdezhen Airport
Jinghong,People's Republic of China,JHG,ZPJH,Xishuangbanna Gasa Airport
Jining,People's Republic of China,JNG,ZLJN,Jining Airport
Jiujiang,People's Republic of China,JIU,ZSJJ,Jiujiang Lushan Airport
Jiuzhaigou,People's Republic of China,JZH,ZUJZ,Jiuzhaigou Huanglong Airport
Jixi,People's Republic of China,JXA,ZYJX,Jixi Xingkaihu Airport
Kaohsiung,Taiwan,KHH,RCKH,Kaohsiung International Airport
Karamay,People's Republic of China,KRY,ZWKM,Karamay Airport
Kashgar,People's Republic of China,KHG,ZWSH,Kashgar Airport
Kathmandu,Nepal,KTM,VNKT,Tribhuvan International Airport
Khabarovsk,Russia,KBV,UHHH,Khabarovsk Novy Airport [F][7]
Khujand,Tajikistan,LBD,UTDL|,Khudzhand Airport
Ko Samui,Thailand,USM,VTSM,Samui Airport [#]
Korla,People's Republic of China,KRL,ZWKL,Korla Airport
Kota Kinabalu,Malaysia,BKI,WBKK,Kota Kinabalu International Airport [#]
Krabi,Thailand,KBV,VTSG,Krabi Airport [#]
Kuala Lumpur,Malaysia,KUL,WMKK,Kuala Lumpur International Airport
Kunming,People's Republic of China,KMG,ZPPP,Kunming Changshui International Airport
Kuqa,People's Republic of China,KCA,ZWKC,Kuqa Airport
Lanzhou,People's Republic of China,LHW,ZLLL,Lanzhou Airport
Laoag City,Philippines,LAO,RPLI,Laoag International Airport [F][9]
Lhasa,People's Republic of China,LXA,ZULS,Lhasa Gonggar Airport
Lianyungang,People's Republic of China,LYG,ZSLG,Lianyungang Baitabu Airport
Lijiang,People's Republic of China,LJG,ZPLJ,Lijiang Airport
Liping,People's Republic of China,HZH,ZUNP,Liping Airport
Liuzhou,People's Republic of China,LZH,ZGZH,Liuzhou Airport
Los Angeles,United States,LAX,KLAX,Los Angeles International Airport
London,United Kingdom,LHR,EGLL,London Heathrow Airport
Luoyang,People's Republic of China,LYA,ZHLY,Luoyang Airport
Luzhou,People's Republic of China,LZO,ZULZ,Luzhou Airport
Macau *,Macau,MFM,VMMC,Macau International Airport[10]
Manila,Philippines,MNL,RPLL,Ninoy Aquino International Airport
Manzhouli,People's Republic of China,NZH,ZBMZ,Manzhouli Xijiao Airport
Medina,Saudi Arabia,MED,OEMA,Prince Mohammad Bin Abdulaziz Airport [#][11]
Mei County,People's Republic of China,MXZ,ZGMX,Meixian Airport
Melbourne,Australia,MEL,YMML,Melbourne Airport
Mianyang,People's Republic of China,MIG,ZUMY,Mianyang Nanjiao Airport
Milan,Italy,MXP,LIMC,Malpensa Airport [Cargo]
Mohe,People's Republic of China,OHE,ZYMH,Mohe Gulian Airport
Moscow,Russia,SVO,UUEE,Sheremetyevo International Airport
Muan,South Korea,MWX,RKJB,Muan International Airport[3][12]
Mudanjiang,People's Republic of China,MDG,ZYMD,Mudanjiang Airport
Nairobi *,Kenya,NBO,HKJK,Jomo Kenyatta International Airport[13]
Nanchang,People's Republic of China,KHN,ZSCN,Nanchang Changbei International Airport ^
Nanchong,People's Republic of China,NAO,ZUNC,Nanchong Airport
Nanjing,People's Republic of China,NKG,ZSNJ,Lukou International Airport
Nanning,People's Republic of China,NNG,ZGNN,Nanning Wuxu International Airport
Nantong,People's Republic of China,NTG,ZSNT,Nantong Airport
Nanyang,People's Republic of China,NNY,ZHNY,Nanyang Airport
New York City,United States,JFK,KJFK,John F. Kennedy International Airport[14]
Niigata,Japan,KIJ,RJSN,Niigata Airport
Ningbo,People's Republic of China,NGB,ZSNB,Ningbo Lishe International Airport
Novosibirsk,Russia,OVB,UNNT,Tolmachevo Airport
Ordos,People's Republic of China,DSN,ZBDS,Ordos Ejin Horo Airport
Osaka,Japan,KIX,RJBB,Kansai International Airport
Osh,Kyrgyzstan,OSS,UAFO,Osh Airport
Paris,France,CDG,LFPG,Paris-Charles de Gaulle Airport
Penang,Malaysia,PEN,WMKP,Penang International Airport
Perth,Australia,PER,YPPH,Perth Airport
Phnom Penh,Cambodia,PNH,VDPP,Phnom Penh International Airport
Phuket,Thailand,HKT,VTSP,Phuket International Airport
Port Louis,Mauritius,MRU,FIMP,Sir Seewoosagur Ramgoolam International Airport[15]
Pyongyang,North Korea,FNJ,ZKPY,Pyongyang Sunan International Airport [F][16]
Qianjiang,People's Republic of China,JIQ,ZUQJ,Qianjiang Wulingshan Airport
Qingdao,People's Republic of China,TAO,ZSQD,Liuting International Airport
Qiqihar,People's Republic of China,NDG,ZYQQ,Qiqihar Airport
Saipan,Northern Mariana Islands,SPN,PGSN,Saipan International Airport [F]
San Francisco,United States,SFO,KSFO,San Francisco International Airport[17]
Sanya,People's Republic of China,SYX,ZJSY,Sanya Phoenix International Airport
Sapporo,Japan,CTS,RJCC,New Chitose Airport[#]
Sendai,Japan,SDJ,RJSS,Sendai Airport [F]
Seoul,South Korea,GMP,RKSS,Gimpo International Airport
Seoul,South Korea,ICN,RKSI,Incheon International Airport
Shanghai,People's Republic of China,SHA,ZSPD,Hongqiao International Airport
Shanghai,People's Republic of China,PVG,ZSSS,Pudong International Airport
Sharjah,United Arab Emirates,SHJ,OMSJ,Sharjah International Airport [F][18]
Shantou,People's Republic of China,SWA,ZGOW,Jieyang Chaoshan International Airport
Shenyang,People's Republic of China,SHE,ZYTX,Taoxian International Airport
Shenzhen,People's Republic of China,SZX,ZGSC,Shenzhen Bao'an International Airport
Shijiazhuang,People's Republic of China,SJW,ZSHC,Daguocun International Airport
Shizuoka *,Japan,FSZ,RJNS,Shizuoka Airport[19]
Siem Reap,Cambodia,REP,VDSR,Siem Reap International Airport
Singapore,Singapore,SIN,WSSS,Changi Airport
Surabaya,Indonesia,SUB,WARR,Juanda International Airport [F]
Surat Thani,Thailand,URT,VTSB,Surat Thani Airport [#]
Sydney,Australia,SYD,YSSY,Sydney Airport
Tacheng,People's Republic of China,TCG,ZWTC,Tacheng Airport
Taipei,Taiwan,TPE,RCTP,Taiwan Taoyuan International Airport
Taiyuan,People's Republic of China,TYN,ZBYN,Taiyuan Wusu Airport
Tashkent,Uzbekistan,TAS,UTTT,Tashkent International Airport
Tbilisi,Georgia,TBS,UGTB,Tbilisi International Airport
Tehran,Iran,IKA,OIIE,Imam Khomeini International Airport
Tengchong,People's Republic of China,TCZ,ZUTC,Tengchong Tuofeng Airport
Tianjin,People's Republic of China,TSN,ZBTJ,Binhai International Airport ^
Tokyo,Japan,NRT,RJAA,Narita International Airport
Tongliao,People's Republic of China,TGO,ZBTL,Tongliao Airport
Tongren,People's Republic of China,TEN,ZUTR,Tongren Fenghuang Airport
Toyama,Japan,TOY,RJNT,Toyama Airport
Urumqi,People's Republic of China,URC,ZWWW,Diwopu International AirportHub
Vancouver,Canada,YVR,CYVR,Vancouver International Airport
Vientiane,Laos,VTE,VLVT,Wattay International Airport [F][20]
Weihai,People's Republic of China,WEH,ZSWH,Weihai Airport
Wenzhou,People's Republic of China,WNZ,ZSWZ,Wenzhou Yongqiang Airport
Wuhan,People's Republic of China,WUH,ZHHH,Tianhe International Airport
Wuxi,People's Republic of China,WUX,ZSWX,Wuxi Shuofang Airport
Xiamen,People's Republic of China,XMN,ZSAM,Gaoqi International Airport
Xi'an,People's Republic of China,XIY,ZLXY,Xianyang International Airport
Xiangyang,People's Republic of China,XFN,ZHXF,Xiangyang Liuji Airport
Xilinhot,People's Republic of China,XIL,ZBXH,Xilinhot Airport
Xingyi,People's Republic of China,ACX,ZUYI,Xingyi Wanfenglin Airport
Xining,People's Republic of China,XNN,ZLXN,Xining Caojiabu Airport
Xinyuan,People's Republic of China,NLT,ZWNL,Nalati Airport
Xuzhou,People's Republic of China,XUZ,ZSXZ,Xuzhou Airport
Yancheng,People's Republic of China,YNZ,ZSYN,Yancheng Airport
Yangon,Myanmar,RGN,VYYY,Yangon International Airport
Yangzhou,People's Republic of China,YTY,ZSYA,Yangzhou Taizhou Airport
Yanji,People's Republic of China,YNJ,ZYYJ,Yanji Chaoyangchuan Airport
Yantai,People's Republic of China,YNT,ZSYT,Yantai Laishan International Airport
Yichang,People's Republic of China,YIH,ZHYC,Yichang Airport
Yichun,People's Republic of China,LDS,ZYLD,Yichun Lindu Airport
Yinchuan,People's Republic of China,INC,ZLIC,Yinchuan Hedong Airport
Yining,People's Republic of China,YIN,ZWYN,Yining Airport
Yiwu,People's Republic of China,YIW,ZSYW,Yiwu Airport
Yongzhou,People's Republic of China,LLF,ZGLG,Yongzhou Lingling Airport
Yulin,People's Republic of China,UYN,ZLYL,Yulin Yuyang Airport
Yuncheng,People's Republic of China,YCU,ZBYC,Yuncheng Guangong Airport
Zhangjiajie,People's Republic of China,DYG,ZGDY,Zhangjiajie Airport
Zhanjiang,People's Republic of China,ZHA,ZGZJ,Zhanjiang Airport
Zhengzhou,People's Republic of China,CGO,ZHCC,Zhengzhou Xinzheng International Airport
Zhongdian,People's Republic of China,DIG,ZPDQ,Diqing Xianggelila Airport
Zhuhai,People's Republic of China,ZUH,ZGSD,Zhuhai Jinwan Airport
Zhoushan,People's Republic of China,HSN,ZSZS,Zhoushan Putuoshan Airport
Zunyi,People's Republic of China,ZYI,ZUZY,Zunyi Xinzhou Airport
